pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-01-01	Motorcyclist Injury Severity On Curved Segments: Temporal Variations & Unobserved Heterogeneity	Available at SSRN 4998398	Motorcyclists face an increased risk of injury severity at curved roadway segments due to a wide range of factors. Given the complex and evolving nature of factors influencing motorcyclist injury seve...	Monire Jafari, Michael Starewich, Ahmed Hossain, Swastika Barua, Subasish Das (2024). "Motorcyclist Injury Severity On Curved Segments: Temporal Variations & Unobserved Heterogeneity" Available at SSRN 4998398.	motorcyclist-injury-severity-on-curved-segments-temporal-variations--unobserved-heterogeneity	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4998398
2024-01-01	Comprehensive Investigation Of Pedestrian Hit-and-run Crashes: Applying Xgboost And Binary Logistic Regression Model	Transportation Research Record	The present trend in the United States suggests that one in five pedestrian fatalities in motor vehicle crashes involves a hit-and-run, a serious traffic safety concern. The over-representation of ped...	Ahmed Hossain, Xiaoduan Sun, Ahmed Sajid Hasan, Mohammad Jalayer, Julius Codjoe (2024). "Comprehensive Investigation Of Pedestrian Hit-and-run Crashes: Applying Xgboost And Binary Logistic Regression Model" Transportation Research Record.	comprehensive-investigation-of-pedestrian-hit-and-run-crashes-applying-xgboost-and-binary-logistic-regression-model	https://journals.sagepub.com/doi/abs/10.1177/03611981241262315
2024-01-01	Investigating Pedestrian Safety Using Advanced Data Analysis Techniques: Patterns, Risk Factors, And Countermeasures	University of Louisiana at Lafayette	Pedestrians are recognized as the most Vulnerable Roadway Users (VRUs) due to their lack of physical protection in motor vehicle collisions. With 7,388 pedestrian fatalities in 2021 in the United Stat...	Ahmed Hossain (2024). "Investigating Pedestrian Safety Using Advanced Data Analysis Techniques: Patterns, Risk Factors, And Countermeasures" University of Louisiana at Lafayette.	investigating-pedestrian-safety-using-advanced-data-analysis-techniques-patterns-risk-factors-and-countermeasures	https://search.proquest.com/openview/293cffa8b296cf1c6f75efd591198a81/1?pq-origsite=gscholar&cbl=18750&diss=y
2024-01-01	Causal Insights Into Speeding Crashes	International Conference on Transportation and Development 2024	Excessive speeding poses significant risks to road safety, impacting a driver’s ability to maneuver safely around obstacles and leading to longer stopping distances and delayed reactions to hazardous ...	Subasish Das, Ahmed Hossain, Swastika Barua, Shahrbanoo Kavianpour, Abbas Sheykhfard (2024). "Causal Insights Into Speeding Crashes" International Conference on Transportation and Development 2024.	causal-insights-into-speeding-crashes	https://ascelibrary.org/doi/abs/10.1061/9780784485514.031
2024-01-01	Crashes Involving Distracted Pedestrians: Identifying Risk Factors And Their Relationships To Pedestrian Severity Levels And Distraction Modes	Accident Analysis & Prevention	The concept of distracted pedestrians and its impact on highway safety has gained increasing attention in recent years. However, studies focusing exclusively on distracted pedestrian crashes are less ...	Md Mahmud Hossain, Huaguo Zhou, Xiaoduan Sun, Ahmed Hossain, Subasish Das (2024). "Crashes Involving Distracted Pedestrians: Identifying Risk Factors And Their Relationships To Pedestrian Severity Levels And Distraction Modes" Accident Analysis & Prevention.	crashes-involving-distracted-pedestrians-identifying-risk-factors-and-their-relationships-to-pedestrian-severity-levels-and-distraction-modes	https://www.sciencedirect.com/science/article/pii/S0001457523004062
2023-12-01	Exploring Nighttime Pedestrian Crash Patterns At Intersection And Segments: Findings From The Machine Learning Algorithm	Journal of safety research	Introduction: Pedestrian safety at nighttime is an ongoing critical traffic safety concern. Although poor visibility is primarily associated with nighttime pedestrian crashes, other contributing facto...	Ahmed Hossain, Xiaoduan Sun, Mahir Shahrier, Shahrin Islam, Shah Alam (2023). "Exploring Nighttime Pedestrian Crash Patterns At Intersection And Segments: Findings From The Machine Learning Algorithm" Journal of safety research.	exploring-nighttime-pedestrian-crash-patterns-at-intersection-and-segments-findings-from-the-machine-learning-algorithm	https://www.sciencedirect.com/science/article/pii/S0022437523001123
2023-07-03	Pattern Recognition From Injury Severity Types Of Frontage Roadway Crashes	Journal of Transportation Safety & Security	Frontage roads are the supporting roadways that are along freeways and fully controlled principal arterial roadway networks in the U.S. These roads are designed in a way to provide access between the ...	Subasish Das, Reuben Tamakloe, Boniphace Kutela, Ahmed Hossain (2023). "Pattern Recognition From Injury Severity Types Of Frontage Roadway Crashes" Journal of Transportation Safety & Security.	pattern-recognition-from-injury-severity-types-of-frontage-roadway-crashes	https://www.tandfonline.com/doi/abs/10.1080/19439962.2022.2123581
2023-07-01	Safety Evaluation Of Centerline Rumble Strips On Rural Two-lane Undivided Highways: Application Of Intervention Time Series Analysis	IATSS research	Centerline rumble strips are low-cost effective countermeasures installed on the center of the highway segments to reduce crashes, especially roadway departure crashes. For safety evaluation of center...	Ahmed Hossain, Xiaoduan Sun, Ashifur Rahman, Sushmita Khanal (2023). "Safety Evaluation Of Centerline Rumble Strips On Rural Two-lane Undivided Highways: Application Of Intervention Time Series Analysis" IATSS research.	safety-evaluation-of-centerline-rumble-strips-on-rural-two-lane-undivided-highways-application-of-intervention-time-series-analysis	https://www.sciencedirect.com/science/article/pii/S0386111223000225
2023-07-01	Exploring Association Of Contributing Factors To Pedestrian Fatal And Severe Injury Crashes Under Dark-no-streetlight Condition	IATSS research	The pedestrian crash pattern in the dark-no-streetlight condition is a noteworthy ongoing traffic safety concern. The persistently high percentage of pedestrian fatalities at night in the U.S., as wel...	Ahmed Hossain, Xiaoduan Sun, Raju Thapa, Md Mahmud Hossain, Subasish Das (2023). "Exploring Association Of Contributing Factors To Pedestrian Fatal And Severe Injury Crashes Under Dark-no-streetlight Condition" IATSS research.	exploring-association-of-contributing-factors-to-pedestrian-fatal-and-severe-injury-crashes-under-dark-no-streetlight-condition	https://www.sciencedirect.com/science/article/pii/S0386111223000134
2023-06-01	Identifying Roadway Departure Crash Patterns On Rural Two-lane Highways Under Different Lighting Conditions: Association Knowledge Using Data Mining Approach	Journal of safety research	Introduction: More than half of all fatalities on U.S. highways occur due to roadway departure (RwD) each year. Previous research has explored various risk factors that contribute to RwD crashes, howe...	Ahmed Hossain, Xiaoduan Sun, Shahrin Islam, Shah Alam, Md Mahmud Hossain (2023). "Identifying Roadway Departure Crash Patterns On Rural Two-lane Highways Under Different Lighting Conditions: Association Knowledge Using Data Mining Approach" Journal of safety research.	identifying-roadway-departure-crash-patterns-on-rural-two-lane-highways-under-different-lighting-conditions-association-knowledge-using-data-mining-approach	https://www.sciencedirect.com/science/article/pii/S0022437523000063
2023-04-01	Liquefaction Assessment Of Rajshahi City Corporation, Bangladesh	Indian Geotechnical Journal	Rajshahi City Corporation (RCC) has been marked as a geologically vulnerable in terms of earthquake. However, no scientific method has been determined to figure out the influencing factors. This is th...	Md Ashikuzzaman, Ahmed Hossain, Md Shakil Ar Salan (2023). "Liquefaction Assessment Of Rajshahi City Corporation, Bangladesh" Indian Geotechnical Journal.	liquefaction-assessment-of-rajshahi-city-corporation-bangladesh	https://link.springer.com/article/10.1007/s40098-022-00671-7
2023-01-01	International Journal Of Transportation Science And Technology	N/A	Pedestrian crashes at high-speed locations are a persistent road safety concern. Driving at high speeds indicates that the driver would get considerably less time to react and make evasive maneuvers t...	Ahmed Hossain, Xiaoduan Sun, Niaz Mahmud Zafri, Julius Codjoe (2023). "International Journal Of Transportation Science And Technology" N/A.	international-journal-of-transportation-science-and-technology	https://www.researchgate.net/profile/Ahmed-Hossain/publication/370563227_Investigating_Pedestrian_Crash_Patterns_at_High-speed_Intersection_and_Road_Segments_Findings_from_the_unsupervised_learning_algorithm/links/64e4fbef0acf2e2b520bde28/Investigating-Pedestrian-Crash-Patterns-at-High-speed-Intersection-and-Road-Segments-Findings-from-the-unsupervised-learning-algorithm.pdf
2023-01-01	Crash Contributing Factors And Patterns Associated With Fatal Truck-involved Crashes In Bangladesh: Findings From Text Mining Approach	N/A	Despite extensive research on traffic injury severities, relatively little is known about the factors contributing to truck-involved crashes in developing countries, especially in the context of Bangl...	Ahmed Hossain, Xiaoduan Sun, Shah Alam, Subasish Das (2023). "Crash Contributing Factors And Patterns Associated With Fatal Truck-involved Crashes In Bangladesh: Findings From Text Mining Approach" N/A.	crash-contributing-factors-and-patterns-associated-with-fatal-truck-involved-crashes-in-bangladesh-findings-from-text-mining-approach	https://journals.sagepub.com/doi/abs/10.1177/03611981231209031
2022-12-04	Applying Genetic Algorithm For Variable Selection In Linear Regression Model	N/A		Ahmed Hossain (2022). "Applying Genetic Algorithm For Variable Selection In Linear Regression Model" N/A.	applying-genetic-algorithm-for-variable-selection-in-linear-regression-model	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U9tD0ywAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=U9tD0ywAAAAJ:7PzlFSSx8tAC
2022-10-14	Crashes Involving Distracted Pedestrians: Exploring Association Of Contributing Factors By Pedestrian Injury Severity And Distraction Modes	Available at SSRN 4247556	The concept of distracted pedestrians and its related impact on highway safety has become a growing issue in recent years. Studies focusing exclusively on distracted pedestrian crashes are less pervas...	Md Mahmud Hossain, Huaguo Zhou, Ahmed Hossain, Xiaoduan Sun (2022). "Crashes Involving Distracted Pedestrians: Exploring Association Of Contributing Factors By Pedestrian Injury Severity And Distraction Modes" Available at SSRN 4247556.	crashes-involving-distracted-pedestrians-exploring-association-of-contributing-factors-by-pedestrian-injury-severity-and-distraction-modes	https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4247556
2022-09-01	Reduce Pedestrian Fatal Crashes In Louisiana By Improving Lighting Conditions	N/A	Due to the stochastic nature of pedestrian crash occurrence, it is a challenge to investigate and pinpoint the exact common crash attributes. However, due to limited visibility at night, it is well ac...	Raju Thapa, Xiaoduan Sun, Ahmed Hossain, Syeda Batool Mavra (2022). "Reduce Pedestrian Fatal Crashes In Louisiana By Improving Lighting Conditions" N/A.	reduce-pedestrian-fatal-crashes-in-louisiana-by-improving-lighting-conditions	https://trid.trb.org/View/2027019
2022-03-01	Young Drivers And Cellphone Distraction: Pattern Recognition From Fatal Crashes	Journal of Transportation Safety & Security	More than 30% of cellphone-distracted fatal crashes occurred to drivers younger than 25-years-old in 2018, even though they constitute less than 12% of total licensed drivers in the U.S. Using joint c...	Md Mahmud Hossain, Huaguo Zhou, Subasish Das, Xiaoduan Sun, Ahmed Hossain (2022). "Young Drivers And Cellphone Distraction: Pattern Recognition From Fatal Crashes" Journal of Transportation Safety & Security.	young-drivers-and-cellphone-distraction-pattern-recognition-from-fatal-crashes	https://www.tandfonline.com/doi/abs/10.1080/19439962.2022.2048763
2022-02-18	Applying Association Rules Mining To Investigate Pedestrian Fatal And Injury Crash Patterns Under Different Lighting Conditions	Transportation Research Record: Journal of the Transportation Research Board	The pattern of pedestrian crashes varies greatly depending on lighting circumstances, emphasizing the need to examine pedestrian crashes in various lighting conditions. Using Louisiana pedestrian fata...	Ahmed Hossain, Xiaoduan Sun, Raju Thapa, Julius Codjoe (2022). "Applying Association Rules Mining To Investigate Pedestrian Fatal And Injury Crash Patterns Under Different Lighting Conditions" Transportation Research Record: Journal of the Transportation Research Board.	applying-association-rules-mining-to-investigate-pedestrian-fatal-and-injury-crash-patterns-under-different-lighting-conditions	https://journals.sagepub.com/doi/abs/10.1177/03611981221076120
2022-01-01	Roadway Crash Trend Analysis With Innovative Trend Analysis And Mann-kendall Test	Southeast Symposium on Contemporary Engineering Topics	Following the national goal of crash reduction, the state of Louisiana set an ambitious goal of ‘Destination Zero Deaths’(DZD), aiming to halve the number of fatalities and severe injuries by 2030. Th...	Ahmed Hossain, Ashifur Rahman, Xiaoduan Sun (2022). "Roadway Crash Trend Analysis With Innovative Trend Analysis And Mann-kendall Test" Southeast Symposium on Contemporary Engineering Topics.	roadway-crash-trend-analysis-with-innovative-trend-analysis-and-mann-kendall-test	https://www.researchgate.net/profile/Ahmed-Hossain/publication/364058746_Roadway_crash_trend_analysis_with_Innovative_Trend_Analysis_and_Mann-Kendall_Test/links/6337cafeff870c55ceed08b3/Roadway-crash-trend-analysis-with-Innovative-Trend-Analysis-and-Mann-Kendall-Test.pdf
2021-02-01	Intervention Time Series Approach In Rumble Strips Study	University of Louisiana at Lafayette	This study aims to explore the safety impact of the installation of center line rumble strip (CLRS) and shoulder rumble strip (SRS) on total crashes in Louisiana’s rural two-lane highway using two dif...	Ahmed Hossain (2021). "Intervention Time Series Approach In Rumble Strips Study" University of Louisiana at Lafayette.	intervention-time-series-approach-in-rumble-strips-study	https://search.proquest.com/openview/e95a95e0c2e56cdac926d1cc16001513/1?pq-origsite=gscholar&cbl=18750&diss=y
2021-01-01	Development Of Empirical Correlations Between Shear Wave Velocity And Standard Penetration Value: A Case Study Of Rajshahi District, Bangladesh	American Journal of Mechanical and Industrial Engineering	In seismic response investigation, shear wave velocity, Vs shows a vigorous role as an input factor. Enormous methodologies have been developed and tested to directly determine this key factor. Direct...	Md Ashikuzzaman, Ahmed Hossain, Md. Shakil Ar Salan, Md. Ashikur Rahman, Md. Mahmudul Hasan (2021). "Development Of Empirical Correlations Between Shear Wave Velocity And Standard Penetration Value: A Case Study Of Rajshahi District, Bangladesh" American Journal of Mechanical and Industrial Engineering.	development-of-empirical-correlations-between-shear-wave-velocity-and-standard-penetration-value-a-case-study-of-rajshahi-district-bangladesh	https://www.researchgate.net/profile/Md-Ashikuzzaman-4/publication/349832278_Development_of_Empirical_Correlations_Between_Shear_Wave_Velocity_and_Standard_Penetration_Value_A_Case_Study_of_Rajshahi_District_Bangladesh/links/6042f8aa299bf1e0785af309/Development-of-Empirical-Correlations-Between-Shear-Wave-Velocity-and-Standard-Penetration-Value-A-Case-Study-of-Rajshahi-District-Bangladesh.pdf
2020-03-01	Trend Analysis Of Lane Departure Crashes In Louisiana State, Usa	Louisiana Transportation Conference (2020)	A lane departure crash is a non-intersection crash which occurs after a vehicle crosses an edge line or center line or otherwise leaves the traveled way. Roadway or lane departure crashes are a signif...	Ahmed Hossain, Xiaoduan Sun (2020). "Trend Analysis Of Lane Departure Crashes In Louisiana State, Usa" Louisiana Transportation Conference (2020).	trend-analysis-of-lane-departure-crashes-in-louisiana-state-usa	https://www.researchgate.net/profile/Ahmed-Hossain/publication/341341726_TREND_ANALYSIS_OF_LANE_DEPARTURE_CRASHES_IN_LOUISIANA_STATE_USA/links/602f3895a6fdcc37a8379a5b/TREND-ANALYSIS-OF-LANE-DEPARTURE-CRASHES-IN-LOUISIANA-STATE-USA.pdf
2020-02-01	Seismic Stability Of Slopes In Layered Cohesive Soils	International Conference on Civil Engineering for Sustainable Development (ICCESD 2020)		Ahmed Hossain, MAA Sadman, MM Rashid (2020). "Seismic Stability Of Slopes In Layered Cohesive Soils" International Conference on Civil Engineering for Sustainable Development (ICCESD 2020).	seismic-stability-of-slopes-in-layered-cohesive-soils	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U9tD0ywAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=U9tD0ywAAAAJ:eQOLeE2rZwMC
2019-06-01	Modified Harmonic Balance Method For Solving Nonlinear Free Vibration Problem Of Beam Resting On Nonlinear Elastic Foundation	Journal of Vibration Testing and System Dynamics	Free vibration of beam is an important issue in structural engineering because of its various physical applications in the real field. In this paper, the free vibration of a nonlinear beam rest on a n...	M Saifur Rahman, Ahmed Hossain (2019). "Modified Harmonic Balance Method For Solving Nonlinear Free Vibration Problem Of Beam Resting On Nonlinear Elastic Foundation" Journal of Vibration Testing and System Dynamics.	modified-harmonic-balance-method-for-solving-nonlinear-free-vibration-problem-of-beam-resting-on-nonlinear-elastic-foundation	https://www.lhscientificpublishing.com/Journals/articles/DOI-10.5890-JVTSD.2019.06.003.aspx
2019-02-01	Gis Based Liquefaction Potential Assessment Considering Different Earthquake Magnitude For Rajshahi City, Bangladesh	N/A	Rajshahi, the major city in the North Western region of Bangladesh is growing rapidly in every feature with major infrastructures like sports complex, educational institutions, hospitals, flyovers, mu...	A HOSSAIN, M ASHIKUZZAMAN, MSA SALAN (2019). "Gis Based Liquefaction Potential Assessment Considering Different Earthquake Magnitude For Rajshahi City, Bangladesh" N/A.	gis-based-liquefaction-potential-assessment-considering-different-earthquake-magnitude-for-rajshahi-city-bangladesh	https://www.bip.org.bd/admin/uploads/member-publication/2019/202007102347051.pdf
2019-02-01	Seismic Stability Of Slopes In Cohesive Soils	International Conference on Planning, Architecture and Civil Engineering (ICPACE 2019)	In recent years, earthquake has become one of the common catastrophic events throughout the world. During earthquakes, different types of slope related failure occur which results in loss of life and ...	Ahmed Hossain, MAA Sadman, MM Rashid, Md. Ashikuzzaman (2019). "Seismic Stability Of Slopes In Cohesive Soils" International Conference on Planning, Architecture and Civil Engineering (ICPACE 2019).	seismic-stability-of-slopes-in-cohesive-soils	https://www.researchgate.net/profile/Md-Ashikuzzaman-4/publication/330938029_Seismic_Stability_of_Slopes_in_Cohesive_Soils/links/5c5c982292851c48a9c17e3b/Seismic-Stability-of-Slopes-in-Cohesive-Soils.pdf
2019-02-01	Effect Of Peak Ground Acceleration (Pga) On Liquefaction Behavior Of Subsoil: A Case Study Of Rajshahi City Corporation	International Conference on Planning, Architecture and Civil Engineering (ICPACE 2019)		Ahmed Hossain, Mohammad Ashikuzzaman, MSA Salan (2019). "Effect Of Peak Ground Acceleration (Pga) On Liquefaction Behavior Of Subsoil: A Case Study Of Rajshahi City Corporation" International Conference on Planning, Architecture and Civil Engineering (ICPACE 2019).	effect-of-peak-ground-acceleration-pga-on-liquefaction-behavior-of-subsoil-a-case-study-of-rajshahi-city-corporation	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U9tD0ywAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=U9tD0ywAAAAJ:W7OEmFMy1HYC
2018-12-01	Pressure Dependent Behavior Of Granular Materials At Varying Intermediate Principal Stress By Dem	International Conference on Advances in Civil Engineering (ICACE 2018)		Mohammad Mahmud Sazzad, Ahmed Hossain (2018). "Pressure Dependent Behavior Of Granular Materials At Varying Intermediate Principal Stress By Dem" International Conference on Advances in Civil Engineering (ICACE 2018).	pressure-dependent-behavior-of-granular-materials-at-varying-intermediate-principal-stress-by-dem	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U9tD0ywAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=U9tD0ywAAAAJ:Tyk-4Ss8FVUC
